Date/Time,Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 07/21  08:00:00,0.0,648659871.560386,119991185.40467142,224813060.55296705,697549467.6152078,697549467.6152078,6791184.0 
 07/21  09:00:00,0.0,650472374.8190026,119991185.40467142,224813060.55296705,712297202.0313158,712297202.0313157,6791184.0 
 07/21  10:00:00,0.0,669554131.5257899,119991185.40467142,224813060.55296705,737261029.7046799,737261029.7046797,6791184.0 
 07/21  11:00:00,0.0,677032530.942424,119991185.40467142,224813060.55296705,750789994.6441934,750789994.6441933,6791184.0 
 07/21  12:00:00,0.0,672047468.0629921,119991185.40467142,224813060.55296705,752775527.0056808,752775527.0056808,20498231.55007991 
 07/21  13:00:00,0.0,664038895.6738786,119991185.40467142,224813060.55296705,752396263.5535151,752396263.553515,24397017.430805729 
 07/21  14:00:00,0.0,674868311.0020208,119991185.40467142,224813060.55296705,767353885.6200874,767353885.6200873,22197854.954174848 
 07/21  15:00:00,0.0,687549167.8505787,119991185.40467142,224813060.55296705,779892510.8578185,779892510.8578184,15531353.79309871 
 07/21  16:00:00,0.0,690654626.3725233,119991185.40467142,224813060.55296705,779398737.849687,779398737.849687,15483543.987827916 
 07/21  17:00:00,0.0,673934807.514224,119991185.40467142,224813060.55296705,761083189.91048,761083189.91048,20335494.10861838 
 07/21  18:00:00,0.0,630697154.2868215,120131322.63904399,224813060.55296705,723473891.5736151,723473891.5736151,11029755.584174406 
 07/21  19:00:00,0.0,570060101.3086324,136951668.73134173,224813060.55296705,691661378.2387246,691661378.2387246,10979609.737127785 
 07/21  20:00:00,0.0,534023807.4176022,152517470.7542746,224813060.55296705,691352299.0545753,691352299.0545753,6791184.0 
 07/21  21:00:00,0.0,513824737.4457526,152517470.7542746,224813060.55296705,676021825.6354236,676021825.6354234,6791184.0 
 07/21  22:00:00,0.0,499163825.0611425,152517470.7542746,224813060.55296705,663993507.2275876,663993507.2275875,6791184.0 
 07/21  23:00:00,3176840.443380799,150570708.53656454,152517470.7542746,224813060.55296705,452474550.55093029,452474550.55093029,6791184.0 
 07/21  24:00:00,2354193.214302466,161062025.86473147,152517470.7542746,224813060.55296705,454116908.26350858,454116908.2635087,6791184.0 
 07/21  01:00:00,1777047.3938970753,216202322.55470867,152517470.7542746,224813060.55296705,472134242.416206,472134242.416206,6791184.0 
 07/21  02:00:00,1204858.1602205989,222253048.21131198,152517470.7542746,224813060.55296705,472866252.01628258,472866252.0162825,6791184.0 
 07/21  03:00:00,1220036.7609288269,154132660.1927808,152517470.7542746,224813060.55296705,446545497.51894256,446545497.51894256,6791184.0 
 07/21  04:00:00,2366899.6744517695,239925623.1026833,152517470.7542746,224813060.55296705,476597765.642935,476597765.64293506,6791184.0 
 07/21  05:00:00,1167060.8653872745,230038518.58681727,152517470.7542746,224813060.55296705,472372913.82191088,472372913.82191088,6791184.0 
 07/21  06:00:00,1324292.3050549383,193630355.96712543,152517470.7542746,224813060.55296705,457948160.7350279,457948160.73502799,6791184.0 
 07/21  07:00:00,825354.1065630515,480700060.48578837,131886500.00307139,224813060.55296705,534779555.5292161,534779555.52921608,6791184.0 
 07/21  08:00:00,0.0,637647388.0975907,119991185.40467142,224813060.55296705,683887761.1975616,683887761.1975615,6791184.0 
 07/21  09:00:00,0.0,640348916.6060984,119991185.40467142,224813060.55296705,698622685.6781528,698622685.6781527,6791184.0 
 07/21  10:00:00,0.0,659983933.179098,119991185.40467142,224813060.55296705,723120283.3329382,723120283.3329382,6791184.0 
 07/21  11:00:00,0.0,667843071.0881306,119991185.40467142,224813060.55296705,736278170.093601,736278170.093601,6791184.0 
 07/21  12:00:00,0.0,663202831.6037045,119991185.40467142,224813060.55296705,738243347.0355558,738243347.0355558,20498232.922664133 
 07/21  13:00:00,0.0,655505579.3474574,119991185.40467142,224813060.55296705,737935354.9703852,737935354.9703852,24394851.203718917 
 07/21  14:00:00,0.0,666506478.5488837,119991185.40467142,224813060.55296705,752467627.2256985,752467627.2256985,22200000.076816486 
 07/21  15:00:00,0.0,679358593.812669,119991185.40467142,224813060.55296705,764757967.9531126,764757967.9531126,15531358.842165484 
 07/21  16:00:00,0.0,682659329.4756147,119991185.40467142,224813060.55296705,764480302.5651327,764480302.5651324,15483549.564546306 
 07/21  17:00:00,0.0,666195934.2055869,119991185.40467142,224813060.55296705,746950267.2426978,746950267.2426977,20335496.119091978 
 07/21  18:00:00,0.0,623242461.127903,120131322.63904399,224813060.55296705,710702482.299278,710702482.299278,11029762.933619027 
 07/21  19:00:00,0.0,562982427.0118022,136951668.73134173,224813060.55296705,680611054.4681001,680611054.4681001,10979622.175065555 
 07/21  20:00:00,0.0,527102969.3698111,152517470.7542746,224813060.55296705,681247673.0913205,681247673.0913203,6791184.0 
 07/21  21:00:00,0.0,507022447.21022936,152517470.7542746,224813060.55296705,666510199.9551495,666510199.9551494,6791184.0 
 07/21  22:00:00,0.0,492465051.41999956,152517470.7542746,224813060.55296705,654992291.3415606,654992291.3415606,6791184.0 
 07/21  23:00:00,3513544.5508759014,147284035.85568799,152517470.7542746,224813060.55296705,450268743.94067427,450268743.94067427,6791184.0 
 07/21  24:00:00,1996730.7953728256,168205497.3316656,152517470.7542746,224813060.55296705,455983678.7967211,455983678.7967211,6791184.0 
 07/21  01:00:00,1925079.7907378074,217720917.16164977,152517470.7542746,224813060.55296705,471811129.48645648,471811129.48645648,6791184.0 
 07/21  02:00:00,1208348.6687625354,221544889.67662198,152517470.7542746,224813060.55296705,476620226.3490852,476620226.3490852,6791184.0 
 07/21  03:00:00,1219370.2090650718,153348799.6669733,152517470.7542746,224813060.55296705,466279108.46687188,466279108.46687188,6791184.0 
 07/21  04:00:00,2846440.7406817779,235579940.8051182,152517470.7542746,224813060.55296705,520957432.8928097,520957432.89280977,6791184.0 
 07/21  05:00:00,1386240.7630671086,227821196.80504746,152517470.7542746,224813060.55296705,528583658.97994676,528583658.97994676,6791184.0 
 07/21  06:00:00,1720483.124449253,186206633.08556725,152517470.7542746,224813060.55296705,505757778.5444744,505757778.5444745,6791184.0 
 07/21  07:00:00,886118.3228658119,454771650.1896316,131886500.00307139,224813060.55296705,574151098.7615743,574151098.7615743,6791184.0 
 07/21  08:00:00,0.0,630480012.7703656,119991185.40467142,224813060.55296705,690799298.1082896,690799298.1082896,6791184.0 
 07/21  09:00:00,0.0,635057058.9310691,119991185.40467142,224813060.55296705,693227010.8006705,693227010.8006704,6791184.0 
 07/21  10:00:00,0.0,654076230.682571,119991185.40467142,224813060.55296705,712341194.2577577,712341194.2577574,6791184.0 
 07/21  11:00:00,0.0,661787560.0961344,119991185.40467142,224813060.55296705,724513784.1659831,724513784.1659831,6791184.0 
 07/21  12:00:00,0.0,657123292.1702576,119991185.40467142,224813060.55296705,726162307.6756114,726162307.6756113,20498418.03196029 
 07/21  13:00:00,0.0,649433431.7996378,119991185.40467142,224813060.55296705,725703248.769978,725703248.769978,24097098.35342217 
 07/21  14:00:00,0.0,660356887.0007422,119991185.40467142,224813060.55296705,739697961.6075056,739697961.6075056,22494868.199562376 
 07/21  15:00:00,0.0,673156712.5367658,119991185.40467142,224813060.55296705,751610535.0914359,751610535.0914357,15532050.075630283 
 07/21  16:00:00,0.0,676452014.6909751,119991185.40467142,224813060.55296705,751397537.3426849,751397537.3426849,15484312.383957159 
 07/21  17:00:00,0.0,660053090.7839443,119991185.40467142,224813060.55296705,734466165.1978569,734466165.1978568,20335768.335387894 
 07/21  18:00:00,0.0,617236009.4139046,120131322.63904399,224813060.55296705,699358965.6938018,699358965.6938017,11030761.646260795 
 07/21  19:00:00,0.0,557177515.2889737,136951668.73134173,224813060.55296705,670741644.2005466,670741644.2005466,10981471.721133884 
 07/21  20:00:00,0.0,521332885.8495681,152517470.7542746,224813060.55296705,672198767.594527,672198767.594527,6791184.0 
 07/21  21:00:00,0.0,501276787.52792689,152517470.7542746,224813060.55296705,657968586.231796,657968586.2317959,6791184.0 
 07/21  22:00:00,0.0,486709260.4406626,152517470.7542746,224813060.55296705,646861541.8467336,646861541.8467335,6791184.0 
 07/21  23:00:00,4047728.126368927,125976753.8019062,152517470.7542746,224813060.55296705,440518213.73964527,440518213.73964527,6791184.0 
 07/21  24:00:00,2492916.393956993,160370524.41185058,152517470.7542746,224813060.55296705,452236709.8978909,452236709.8978909,6791184.0 
 07/21  01:00:00,2219595.074348652,190278967.3846858,152517470.7542746,224813060.55296705,543510658.261633,543510658.2616329,6791184.0 
 07/21  02:00:00,1752805.583660359,223420988.22031666,152517470.7542746,224813060.55296705,565048534.2333229,565048534.2333229,6791184.0 
 07/21  03:00:00,1556401.0369602638,175989798.40816994,152517470.7542746,224813060.55296705,522866330.62724319,522866330.62724319,6791184.0 
 07/21  04:00:00,2616837.848157826,215350796.70982648,152517470.7542746,224813060.55296705,549566506.8431935,549566506.8431935,6791184.0 
 07/21  05:00:00,1625460.052640531,233074271.13905625,152517470.7542746,224813060.55296705,556256313.3257033,556256313.3257034,6791184.0 
 07/21  06:00:00,1921099.0316486364,206986277.5871911,152517470.7542746,224813060.55296705,550330513.5388845,550330513.5388845,6791184.0 
 07/21  07:00:00,890864.4544175621,357853326.1615292,131886500.00307139,224813060.55296705,735822979.7369255,735822979.7369254,6791184.0 
 07/21  08:00:00,0.0,424671788.2776652,119991185.40467142,224813060.55296705,727924641.9139423,727924641.9139423,6791184.0 
 07/21  09:00:00,602020.3572667255,523809492.95631226,119991185.40467142,224813060.55296705,732715438.550432,732715438.550432,6791184.0 
 07/21  10:00:00,0.0,611840939.3744323,119991185.40467142,224813060.55296705,743723006.5501438,743723006.5501438,6791184.0 
 07/21  11:00:00,0.0,654418982.1223612,119991185.40467142,224813060.55296705,752241264.4469701,752241264.44697,6791184.0 
 07/21  12:00:00,0.0,664602800.3732979,119991185.40467142,224813060.55296705,748474358.6140616,748474358.6140617,18861988.26621989 
 07/21  13:00:00,0.0,663089585.8289349,119991185.40467142,224813060.55296705,746619378.2628785,746619378.2628785,22776221.4778242 
