Date/Time,Environment:Site Wind Speed [m/s](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 07/21  19:00:00,2.4,36.8684596217668,0.0,557177515.2889737,136951668.73134173,224813060.55296705 
 07/21  20:00:00,2.4,0.0,0.0,521332885.8495681,152517470.7542746,224813060.55296705 
 07/21  21:00:00,2.4,0.0,0.0,501276787.52792689,152517470.7542746,224813060.55296705 
 07/21  22:00:00,2.4,0.0,0.0,486709260.4406626,152517470.7542746,224813060.55296705 
 07/21  23:00:00,2.4,0.0,4047728.126368927,125976753.8019062,152517470.7542746,224813060.55296705 
 07/21  24:00:00,2.4,0.0,2492916.393956993,160370524.41185058,152517470.7542746,224813060.55296705 
 07/21  01:00:00,2.4,0.0,2219595.074348652,190278967.3846858,152517470.7542746,224813060.55296705 
 07/21  02:00:00,2.4,0.0,1752805.583660359,223420988.22031666,152517470.7542746,224813060.55296705 
 07/21  03:00:00,2.4,0.0,1556401.0369602638,175989798.40816994,152517470.7542746,224813060.55296705 
 07/21  04:00:00,2.4,0.0,2616837.848157826,215350796.70982648,152517470.7542746,224813060.55296705 
 07/21  05:00:00,2.4,0.0,1625460.052640531,233074271.13905625,152517470.7542746,224813060.55296705 
 07/21  06:00:00,2.4,0.0145891147909559,1921099.0316486364,206986277.5871911,152517470.7542746,224813060.55296705 
 07/21  07:00:00,2.4,56.34860986772071,890864.4544175621,357853326.1615292,131886500.00307139,224813060.55296705 
 07/21  08:00:00,2.4,231.85959147294114,0.0,424671788.2776652,119991185.40467142,224813060.55296705 
 07/21  09:00:00,2.4,375.607302565397,602020.3572667255,523809492.95631226,119991185.40467142,224813060.55296705 
 07/21  10:00:00,2.4,470.73042604296429,0.0,611840939.3744323,119991185.40467142,224813060.55296705 
 07/21  11:00:00,2.4,529.8608859013466,0.0,654418982.1223612,119991185.40467142,224813060.55296705 
 07/21  12:00:00,2.4,561.7438609980454,0.0,664602800.3732979,119991185.40467142,224813060.55296705 
 07/21  13:00:00,2.4,570.8458267551066,0.0,663089585.8289349,119991185.40467142,224813060.55296705 
 07/21  14:00:00,2.4,558.4131747035665,0.0,671775620.5930101,119991185.40467142,224813060.55296705 
 07/21  15:00:00,2.4,522.7428547735229,0.0,680423820.1746252,119991185.40467142,224813060.55296705 
 07/21  16:00:00,2.4,458.79708920135365,0.0,682114363.076901,119991185.40467142,224813060.55296705 
 07/21  17:00:00,2.4,357.08032063725866,0.0,667484453.0276508,119991185.40467142,224813060.55296705 
 07/21  18:00:00,2.4,205.1994120596819,0.0,623068168.2552337,120131322.63904399,224813060.55296705 
 07/21  19:00:00,2.4,36.8684596217668,0.0,560960845.0852194,136249710.75501783,224813060.55296705 
 07/21  20:00:00,2.4,0.0,0.0,523959508.63751509,152517470.7542746,224813060.55296705 
